110: x: -1.00695, y: -0.205908, zNormal: 0.114652
111: x: -1.01921, y: -0.197017, zNormal: 0.135509
112: x: -1.00263, y: -0.201217, zNormal: 0.0980981
113: x: -1.01518, y: -0.187811, zNormal: 0.0966933
114: x: -1.00848, y: -0.180051, zNormal: 0.0797193
115: x: -1.1649, y: -0.475385, zNormal: -0.994916
116: x: -1.15694, y: -0.392904, zNormal: -0.988319
117: x: -1.13615, y: -0.514303, zNormal: -0.995625
118: x: -1.13979, y: -0.47303, zNormal: -0.99613
119: x: -1.14183, y: -0.418781, zNormal: -0.993176
120: x: -1.14892, y: -0.387554, zNormal: -0.984578
121: x: -1.11179, y: -0.266338, zNormal: -0.860003
122: x: -1.10724, y: -0.241575, zNormal: -0.747515
123: x: -1.09124, y: -0.253786, zNormal: 0.52899
124: x: -1.109, y: -0.240073, zNormal: 0.484497
125: x: -1.09079, y: -0.21069, zNormal: 0.311721
126: x: -1.10184, y: -0.190577, zNormal: 0.273854
127: x: -1.07338, y: -0.199588, zNormal: 0.25416
128: x: -1.09043, y: -0.186499, zNormal: 0.252898
129: x: -1.06795, y: -0.196341, zNormal: 0.203867
130: x: -1.08037, y: -0.184653, zNormal: 0.18687
131: x: -1.05866, y: -0.192988, zNormal: 0.134887
132: x: -1.06558, y: -0.182252, zNormal: 0.119
133: x: -1.05597, y: -0.173766, zNormal: 0.0884581
134: x: -1.0542, y: -0.165485, zNormal: 0.067839
135: x: -1.06639, y: -0.159353, zNormal: 0.0536589
136: x: -1.17774, y: -0.449384, zNormal: -0.994674
137: x: -1.18002, y: -0.420207, zNormal: -0.994953
138: x: -1.16773, y: -0.446918, zNormal: -0.995038
139: x: -1.16552, y: -0.431654, zNormal: -0.996222
140: x: -1.13942, y: -0.248276, zNormal: -0.822013
141: x: -1.1571, y: -0.226101, zNormal: -0.716981
142: x: -1.15194, y: -0.226201, zNormal: 0.475317
143: x: -1.14119, y: -0.20252, zNormal: 0.302684
144: x: -1.14494, y: -0.180568, zNormal: 0.249297
145: x: -1.13131, y: -0.179564, zNormal: 0.2293
146: x: -1.13032, y: -0.174333, zNormal: 0.182769
147: x: -1.11471, y: -0.167597, zNormal: 0.109536
148: x: -1.11118, y: -0.158209, zNormal: 0.0671522
149: x: -1.09606, y: -0.151964, zNormal: 0.046173
150: x: -1.0993, y: -0.148824, zNormal: 0.0400676
151: x: -1.25891, y: -0.611816, zNormal: -0.990195
152: x: -1.25947, y: -0.633258, zNormal: -0.990472
153: x: -1.2712, y: -0.604139, zNormal: -0.994292
154: x: -1.21196, y: -0.233788, zNormal: -0.762589
155: x: -1.20792, y: -0.20857, zNormal: 0.609719
156: x: -1.19204, y: -0.20766, zNormal: 0.369204
157: x: -1.1893, y: -0.188622, zNormal: 0.273894
158: x: -1.18715, y: -0.167674, zNormal: 0.248806
159: x: -1.18277, y: -0.163389, zNormal: 0.209554
160: x: -1.17378, y: -0.160766, zNormal: 0.174137
161: x: -1.15689, y: -0.155264, zNormal: 0.0914667
162: x: -1.15673, y: -0.141512, zNormal: 0.0438241
163: x: -1.15048, y: -0.135191, zNormal: 0.035739
164: x: -1.13673, y: -0.137147, zNormal: 0.0342136
165: x: -1.31485, y: -0.577875, zNormal: -0.993607
166: x: -1.32188, y: -0.567943, zNormal: -0.991771
167: x: -1.29439, y: -0.587359, zNormal: -0.995702
168: x: -1.31329, y: -0.56123, zNormal: -0.994395
169: x: -1.23366, y: -0.193222, zNormal: 0.422265
170: x: -1.25504, y: -0.169377, zNormal: 0.409354
171: x: -1.23405, y: -0.188641, zNormal: 0.325939
172: x: -1.25712, y: -0.171361, zNormal: 0.306785
173: x: -1.22499, y: -0.178469, zNormal: 0.258592
