100: x: -1.08105, y: -0.356614, xCell: 1, yCell: 3
101: x: -1.06314, y: -0.331732, xCell: 1, yCell: 3
102: x: -1.06284, y: -0.275177, xCell: 1, yCell: 3
103: x: -1.08018, y: -0.250271, xCell: 1, yCell: 4
104: x: -1.05393, y: -0.270588, xCell: 1, yCell: 3
105: x: -1.04884, y: -0.260375, xCell: 1, yCell: 3
106: x: -1.04294, y: -0.228136, xCell: 1, yCell: 4
107: x: -1.02586, y: -0.215708, xCell: 1, yCell: 4
108: x: -1.01805, y: -0.210641, xCell: 1, yCell: 4
109: x: -1.0225, y: -0.199688, xCell: 1, yCell: 4
110: x: -1.00695, y: -0.205908, xCell: 1, yCell: 4
111: x: -1.01921, y: -0.197017, xCell: 1, yCell: 4
112: x: -1.00263, y: -0.201217, xCell: 1, yCell: 4
113: x: -1.01518, y: -0.187811, xCell: 1, yCell: 4
114: x: -1.00848, y: -0.180051, xCell: 1, yCell: 4
115: x: -1.1649, y: -0.475385, xCell: 1, yCell: 3
116: x: -1.15694, y: -0.392904, xCell: 1, yCell: 3
117: x: -1.13615, y: -0.514303, xCell: 1, yCell: 3
118: x: -1.13979, y: -0.47303, xCell: 1, yCell: 3
119: x: -1.14183, y: -0.418781, xCell: 1, yCell: 3
120: x: -1.14892, y: -0.387554, xCell: 1, yCell: 3
121: x: -1.11179, y: -0.266338, xCell: 1, yCell: 3
122: x: -1.10724, y: -0.241575, xCell: 1, yCell: 4
123: x: -1.09124, y: -0.253786, xCell: 1, yCell: 4
124: x: -1.109, y: -0.240073, xCell: 1, yCell: 4
125: x: -1.09079, y: -0.21069, xCell: 1, yCell: 4
126: x: -1.10184, y: -0.190577, xCell: 1, yCell: 4
127: x: -1.07338, y: -0.199588, xCell: 1, yCell: 4
128: x: -1.09043, y: -0.186499, xCell: 1, yCell: 4
129: x: -1.06795, y: -0.196341, xCell: 1, yCell: 4
130: x: -1.08037, y: -0.184653, xCell: 1, yCell: 4
131: x: -1.05866, y: -0.192988, xCell: 1, yCell: 4
132: x: -1.06558, y: -0.182252, xCell: 1, yCell: 4
133: x: -1.05597, y: -0.173766, xCell: 1, yCell: 4
134: x: -1.0542, y: -0.165485, xCell: 1, yCell: 4
135: x: -1.06639, y: -0.159353, xCell: 1, yCell: 4
136: x: -1.17774, y: -0.449384, xCell: 1, yCell: 3
137: x: -1.18002, y: -0.420207, xCell: 1, yCell: 3
138: x: -1.16773, y: -0.446918, xCell: 1, yCell: 3
139: x: -1.16552, y: -0.431654, xCell: 1, yCell: 3
140: x: -1.13942, y: -0.248276, xCell: 1, yCell: 4
141: x: -1.1571, y: -0.226101, xCell: 1, yCell: 4
142: x: -1.15194, y: -0.226201, xCell: 1, yCell: 4
143: x: -1.14119, y: -0.20252, xCell: 1, yCell: 4
144: x: -1.14494, y: -0.180568, xCell: 1, yCell: 4
145: x: -1.13131, y: -0.179564, xCell: 1, yCell: 4
146: x: -1.13032, y: -0.174333, xCell: 1, yCell: 4
147: x: -1.11471, y: -0.167597, xCell: 1, yCell: 4
148: x: -1.11118, y: -0.158209, xCell: 1, yCell: 4
149: x: -1.09606, y: -0.151964, xCell: 1, yCell: 4
150: x: -1.0993, y: -0.148824, xCell: 1, yCell: 4
151: x: -1.25891, y: -0.611816, xCell: 1, yCell: 3
152: x: -1.25947, y: -0.633258, xCell: 1, yCell: 3
153: x: -1.2712, y: -0.604139, xCell: 1, yCell: 3
154: x: -1.21196, y: -0.233788, xCell: 1, yCell: 4
155: x: -1.20792, y: -0.20857, xCell: 1, yCell: 4
156: x: -1.19204, y: -0.20766, xCell: 1, yCell: 4
157: x: -1.1893, y: -0.188622, xCell: 1, yCell: 4
158: x: -1.18715, y: -0.167674, xCell: 1, yCell: 4
159: x: -1.18277, y: -0.163389, xCell: 1, yCell: 4
160: x: -1.17378, y: -0.160766, xCell: 1, yCell: 4
161: x: -1.15689, y: -0.155264, xCell: 1, yCell: 4
162: x: -1.15673, y: -0.141512, xCell: 1, yCell: 4
163: x: -1.15048, y: -0.135191, xCell: 1, yCell: 4
164: x: -1.13673, y: -0.137147, xCell: 1, yCell: 4
165: x: -1.31485, y: -0.577875, xCell: 1, yCell: 3
166: x: -1.32188, y: -0.567943, xCell: 1, yCell: 3
167: x: -1.29439, y: -0.587359, xCell: 1, yCell: 3
168: x: -1.31329, y: -0.56123, xCell: 1, yCell: 3
169: x: -1.23366, y: -0.193222, xCell: 1, yCell: 4
170: x: -1.25504, y: -0.169377, xCell: 1, yCell: 4
171: x: -1.23405, y: -0.188641, xCell: 1, yCell: 4
172: x: -1.25712, y: -0.171361, xCell: 1, yCell: 4
173: x: -1.22499, y: -0.178469, xCell: 1, yCell: 4
174: x: -1.23654, y: -0.153275, xCell: 1, yCell: 4
175: x: -1.22926, y: -0.146659, xCell: 1, yCell: 4
176: x: -1.20634, y: -0.143677, xCell: 1, yCell: 4
177: x: -1.22002, y: -0.133518, xCell: 1, yCell: 4
178: x: -1.20301, y: -0.129226, xCell: 1, yCell: 4
179: x: -1.19314, y: -0.124284, xCell: 1, yCell: 4
